video_id,title,channel_name,ad_status,sw_violence_death,sw_sexual_content,sw_profanity,sw_drugs_substances,sw_hate_speech_slurs,sw_mental_health,sw_political_controversial,sw_weapons_military,sw_coded_numbers,sw_total,as_drugs,as_mental_health,as_other,as_platform_moderation,as_profanity,as_sexual,as_violence_death,as_weapons,as_total
4O2wWbaFhCI,House of the Dragon is the Medieval Jerry Springer,olurinatti,,84,9,38,1,33,0,40,5,0,210,1,0,0,0,1,0,0,0,2
4fGJ6YOumzQ,,,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4nM6umgj0JY,Why Black Male Voters are FED UP | OLAY & FRIENDS,olurinatti,,18,1,15,2,266,0,35,1,0,338,0,0,0,0,0,0,0,0,0
4nXJ0h3iU-M,,,Yes,1,0,3,0,1,0,12,0,0,17,0,0,0,0,0,0,0,0,0
4usmeP0kw-k,Production Hell - Cats,The Critical Drinker,Yes,7,0,6,0,2,0,4,2,0,21,1,0,0,0,0,0,0,0,1
4xUxjWxiOFA,"PODCAST #3: IRAN, HEGEL, AND IDEALISM IN WESTERN SOCIALISTS",midwesternmarx,Yes,13,0,2,0,7,1,38,5,0,66,0,0,0,0,0,0,0,0,0
5FkHVkwdDVE,"Wicked For Good - Is It Actually Good, Though?",The Critical Drinker,Yes,2,0,4,0,1,0,3,0,0,10,0,0,0,0,0,0,0,0,0
5NvCUtBkaVY,,,Yes,5,0,4,0,0,2,6,1,0,18,0,0,0,0,0,0,0,0,0
5OcZwXY69ww,,,Yes,5,0,1,0,0,0,5,18,0,29,0,0,0,0,0,0,1,0,1
5sjSC3-1izQ,Pokimane and QT's Worst Nightmare just Came True,Hero Hei,Yes,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5x8anGV6yu4,,,Yes,9,0,8,0,0,1,1,8,0,27,0,0,0,0,0,0,0,0,0
5znurzDDc-k,,,Yes,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0
6979XXJRlOo,Telesur Interviews Carlos on the Venezuelan Elections,midwesternmarx,Yes,12,0,1,0,4,0,31,0,0,48,0,0,0,0,0,0,0,0,0
69obN625Fjs,How to Fall Down the Anti-SJW Rabbit Hole,Three Arrows,Yes,6,0,9,0,14,0,9,1,0,39,0,0,1,0,0,0,0,0,1
6C-i5fX-7Fc,Slaying Sacred Cows,The Podcast of the Lotus Eaters,Yes,29,2,11,0,16,0,10,1,0,69,0,0,0,0,0,0,0,0,0
6DIkW9YoR3Y,Donald Trump Won & America Will Regret It,olurinatti,,5,0,4,0,39,1,12,2,0,63,0,0,1,0,0,0,0,0,1
6DQqMQ2KYYk,,,Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6T5zbw73n2g,Weapons - A Superb Horror Mystery,The Critical Drinker,Yes,2,0,2,1,0,0,1,12,0,18,0,0,0,0,0,0,0,0,0
6Y1Wgv-DfvA,,,Yes,1,0,4,0,3,0,1,1,0,10,0,0,0,0,0,0,0,0,0
6b6N-hgb9-s,,,Yes,2,0,4,0,6,0,3,0,0,15,0,0,0,0,0,0,0,0,0
6e9AzdNUoLY,Are Men Using Babies to Trap Women? | OLAY & FRIENDS,olurinatti,,4,26,19,0,14,0,9,0,0,72,4,0,0,0,0,0,0,0,4
6gkEf3wsLnA,He CAN'T STOP LYING,Actual Justice Warrior,Yes,7,1,20,0,2,0,2,0,0,32,0,0,3,1,0,0,0,0,4
6lIi1_VY1VY,Debate: Communists vs Ukrainian Anti-Communist,midwesternmarx,Yes,7,1,7,1,7,1,13,2,0,39,0,0,0,0,0,0,0,0,0
6skuCiLCjRA,How To Dismantle a Democracy,Three Arrows,Yes,33,0,1,1,5,0,34,0,0,74,0,0,0,0,0,0,0,0,0
6vK1LY1KC_w,Why Modern Movies Suck - They're Completely Forgettable,The Critical Drinker,Yes,1,0,2,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0
6yVXtiqHBw0,AMERICAN JOURNALIST EXPOSES THE TRUTH ABOUT CHINA | JASON SMITH,midwesternmarx,Yes,10,0,9,0,17,0,9,0,0,45,0,0,0,0,1,0,0,0,1
79DZrp-cIKw,,,Yes,18,1,4,0,0,0,6,0,0,29,0,0,0,0,0,0,0,0,0
7Bd_H8Cyago,The Easy Answers of YouTube Conservatism,Three Arrows,No,120,2,10,33,200,1,81,19,0,466,0,0,0,8,0,0,0,0,8
7FWWF2nQf6o,The International - American country/folk version,midwesternmarx,Yes,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0
7US7_rtOkJY,,,Yes,11,0,3,0,1,0,3,0,0,18,0,0,0,0,0,0,0,0,0
7fDiL_RFGTA,The Real Says Jussie Smollett Hoax Was Noble,Actual Justice Warrior,Yes,24,0,25,0,58,0,23,2,0,132,0,0,0,1,3,0,0,0,4
